NEW  HOUSE  GUARANTEE  REGISTRATIONS 1978 to date,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW  HOUSE  GUARANTEE  REGISTRATIONS 1978 to date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW  HOUSE  GUARANTEE  REGISTRATIONS 1978 to date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW  HOUSE  GUARANTEE  REGISTRATIONS 1978 to date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW  HOUSE  GUARANTEE  REGISTRATIONS 1978 to date,,,,,,,,,,,,,,,,,,,,,,,
Year:,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,,,,,2005,,,,,2006,,,,,,,,,,,,,2007,,,,,,,,,,,,,2008,,,,,,,,,,,,,2009,,,,,,,,,,,,,2010,,,,,,,,,,,,,2011,,,,,,,,,,,,,2012,,,,,,,,,,,,,2013,,,,,,,,,,,,,2014,,,,,,,,,,,,,2015,,,,,,,,,,,,,,2016,,,,,,,,,
County,"
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL","
 TOTAL",Q1 ,Q2,Q3,Q4,"
 TOTAL",Q1,Q2,Q3,Q4,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,TOTAL  ,,Jan,Feb,Mar,Apr,May,June,July,August,September,2016 to date
Carlow,1,5,44,97,61,99,64,69,41,30,25,120,123,109,123,127,110,169,325,508,495,529,369,305,429,719,248,292,108,199,847,282,292,254,110,938,101,92,77,83,66,20,110,77,86,159,30,35,936,35,117,266,98,65,48,46,12,34,1,24,1,747,47,4,5,60,14,24,48,9,13,1,2,3,230,3,1,37,2,3,4,1,2,0,5,1,1,60,0,1,0,8,22,1,0,1,3,1,0,0,37,0,0,14,2,0,0,0,1,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,23,0,0,0,26,0,1,0,1,0,2,1,0,0,0,0,1,6,,1,0,0,2,2,0,2,0,2,9
Cavan,10,15,11,14,35,30,53,66,37,35,61,74,88,82,80,63,106,76,183,152,176,229,270,201,370,572,239,207,267,393,"1,106",218,299,244,372,"1,133",99,103,220,21,99,70,189,86,117,164,49,167,"1,384",90,186,126,31,100,90,90,20,46,50,49,29,907,13,24,69,14,6,11,7,7,0,3,12,2,168,0,1,12,4,1,2,12,20,12,0,0,0,64,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Clare,65,18,186,267,349,345,235,214,232,161,191,194,299,318,361,240,366,455,722,831,801,"1,158",891,648,864,"1,157",299,546,268,365,"1,478",494,270,448,325,"1,537",112,279,148,64,294,137,253,202,149,72,166,40,"1,916",45,145,167,41,129,98,14,169,38,42,172,6,"1,066",5,38,55,2,10,8,6,4,10,13,0,5,156,15,3,3,1,4,1,3,94,3,4,4,2,137,5,5,5,2,6,0,5,2,2,3,0,0,35,3,0,1,1,0,1,3,1,0,3,1,0,14,1,0,0,1,0,0,0,1,0,2,1,0,6,0,0,1,0,0,2,0,1,0,0,1,0,5,0,1,0,0,1,1,1,1,3,0,0,0,8,1,0,0,1,3,0,3,5,3,0,1,8,25,,11,0,13,2,6,0,1,5,4,42
Cork,367,655,"1,402","1,707","1,298","1,511","1,267","1,074","1,041",791,925,"1,241","1,281","1,107","1,303","1,443","1,966","1,895","2,712","3,037","3,266","4,174","4,424","2,957","6,004","5,827","1,691","2,425","1,128","1,181","6,425","1,916","1,460","2,184","2,185","7,745",554,401,589,638,576,976,"1,124",734,828,454,495,488,"7,857",480,759,376,380,454,203,444,245,458,329,170,39,"4,337",159,196,126,280,192,149,44,185,189,60,70,90,"1,740",40,21,53,24,29,43,33,52,71,93,20,9,488,62,22,29,70,57,14,17,22,27,9,19,10,358,13,12,19,14,13,23,17,23,15,15,14,69,247,12,10,13,13,13,8,13,8,10,21,14,5,140,22,5,16,11,19,17,15,25,31,5,19,12,197,16,21,22,28,13,9,63,16,35,13,41,20,297,7,51,64,46,29,33,48,77,3,14,90,17,479,,16,42,45,64,76,61,59,51,81,495
Donegal,27,38,40,71,73,150,159,130,127,64,73,212,142,152,156,232,241,344,389,425,736,"1,020",850,710,804,"1,078",265,148,200,300,913,224,230,369,167,990,106,53,246,51,99,229,97,61,170,41,106,132,"1,391",102,218,56,106,115,50,101,74,66,96,57,1,"1,042",37,107,2,141,11,19,3,18,14,7,5,0,364,3,1,2,6,1,4,3,1,0,0,10,1,32,0,36,8,1,3,2,0,1,4,1,10,1,67,1,0,0,1,1,1,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,1,6,0,0,1,0,0,0,15,23,0,0,0,0,0,0,0,0,0,1,0,10,11,0,0,0,0,0,0,0,0,0,15,0,0,15,,0,0,0,0,0,0,0,18,0,18
Dublin ,"1,761","2,479","4,678","4,012","4,149","4,331","4,810","3,850","3,722","3,356","3,942","4,500","4,616","4,684","5,864","6,145","7,830","8,107","8,591","8,040","8,356","8,956","8,122","8,724","18,243","16,708","4,402","5,349","4,324","4,639","18,714","4,525","3,871","3,094","4,166","15,656",870,"2,658","1,611",870,"1,826","2,896",872,645,"1,929","1,638",992,451,"17,258",581,"1,419","1,372","1,342",805,829,787,552,169,652,517,293,"9,318",450,675,476,468,705,273,192,159,581,178,125,268,"4,550",16,291,114,115,35,195,34,51,53,156,24,29,"1,113",24,6,10,39,97,59,9,45,9,7,5,8,318,7,47,4,3,8,21,6,15,17,3,8,1,140,0,5,4,12,43,16,9,12,10,15,10,6,142,21,54,21,65,101,51,35,42,149,6,71,59,675,37,111,73,86,78,128,103,88,136,141,162,196,"1,339",117,173,168,123,237,161,209,763,86,236,107,155,"2,535",,49,130,507,209,257,71,282,320,158,"1,983"
Galway,173,433,268,488,279,460,357,454,339,307,473,734,630,618,615,487,623,929,"1,444","1,281","1,381","1,721","1,831","1,780","2,941","2,811",570,849,568,541,"2,528",542,544,595,875,"2,556",504,367,255,230,412,242,183,237,406,100,187,110,"3,233",230,138,261,161,205,89,167,82,216,142,159,59,"1,909",129,96,57,154,13,110,24,11,47,69,17,1,728,22,9,32,4,2,2,3,1,21,7,13,30,146,2,6,0,3,4,0,7,4,2,0,1,2,31,1,13,1,1,2,0,1,0,1,1,7,1,29,0,2,0,0,1,3,1,1,0,1,1,0,10,0,0,0,2,1,0,2,10,0,1,1,1,18,1,13,5,1,1,1,1,0,0,0,2,7,32,0,0,8,15,2,0,0,1,0,0,27,6,59,,0,1,2,1,40,4,1,1,0,50
Kerry,32,45,81,112,171,222,148,129,135,93,125,267,295,220,346,403,361,411,575,837,684,727,739,639,"1,561","1,272",394,424,521,423,"1,762",352,552,525,583,"2,012",83,178,117,240,197,75,137,154,57,230,216,62,"1,746",72,123,183,125,83,230,82,37,54,120,50,73,"1,232",23,31,12,57,27,33,5,7,19,12,10,20,256,5,9,6,2,14,3,18,1,2,1,1,4,66,14,2,5,4,8,0,2,10,1,3,4,4,57,24,3,2,1,4,0,0,3,0,2,6,2,47,5,0,2,4,3,1,0,4,0,0,4,2,25,3,1,0,2,3,10,2,0,0,2,2,0,25,0,4,0,5,2,4,2,5,3,1,2,0,28,2,2,1,0,1,1,9,3,0,0,0,0,19,,1,3,0,1,5,10,11,1,1,33
Kildare,154,332,668,731,603,640,667,522,508,329,370,888,770,744,932,853,"1,385","1,300","1,510","2,052","2,361","1,972","2,064","1,933","2,192","3,264",549,846,865,698,"2,958",805,"1,297",963,935,"4,000",220,529,368,128,432,443,304,532,225,238,175,165,"3,759",420,346,368,75,160,168,230,105,62,91,55,3,"2,083",54,23,82,47,43,93,9,23,16,2,4,17,413,5,4,35,10,5,52,26,15,22,11,10,1,196,16,32,3,11,7,6,0,8,2,25,2,2,114,8,1,8,3,7,2,0,1,4,10,1,0,45,0,2,3,6,15,2,0,0,10,13,7,4,62,13,2,2,17,6,3,14,13,2,9,37,0,118,17,58,13,10,3,18,30,25,39,76,33,15,337,65,29,19,112,15,96,33,21,21,21,15,1,448,,10,52,37,42,71,16,100,69,21,418
Kilkenny,82,83,83,145,62,142,139,134,170,156,206,261,230,255,174,189,219,304,387,450,511,512,607,648,"1,064",946,261,370,261,282,"1,174",588,488,343,151,"1,570",179,173,149,98,125,60,233,58,24,101,37,68,"1,305",107,41,209,30,58,22,70,154,21,5,9,1,727,68,5,7,24,6,19,6,9,10,4,4,3,165,2,3,7,19,4,8,2,6,1,3,9,3,67,1,3,2,3,7,2,1,1,3,1,3,1,28,0,4,3,0,3,0,0,2,1,2,28,0,43,1,0,0,0,1,0,1,1,0,2,2,0,8,1,0,2,0,0,0,1,2,0,0,2,0,8,0,0,1,1,0,1,0,0,0,2,0,1,6,0,0,0,1,0,0,0,10,0,1,0,4,16,,0,0,0,0,0,16,2,0,0,18
